Sundaram Banking and PSU Debt Fund Regular Plan - Growth	36.9481
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5618
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.0974
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.2981
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4667
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.6185
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.6185
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.3855
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.3855
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.6185
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.3855
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1109.0116
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1095.8482
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1038.4898
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1112.2567
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1036.806
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1052.433
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1027.754
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1025.6025
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1098.2362
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1029.1771
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1040.5463
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1023.0035
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.2115
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.5017
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.1496
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.7072
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6792
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.2528
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.0663
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.6934
